"Sid","Sleep Quality","Time in Bed","Wake up","Sleep Notes","Heart Rate","Worked Out","Stressed","Late Meal","Caffeinated","Minutes in Bed"
"1",100,"8:32","Good","",59,"NA","NA","NA","NA",512
"2",3,"0:16","Ok","Stressful day",72,"FALSE","TRUE","FALSE","LOW",16
"3",98,"8:30","Ok","",57,"NA","NA","NA","NA",510
"4",65,"7:32","NA","",59,"NA","NA","NA","NA",452
"5",72,"6:44","Good","Drank coffee:Drank tea",68,"FALSE","FALSE","FALSE","HIGH",404
"6",83,"7:12","Good","Drank coffee:Drank tea",60,"FALSE","FALSE","FALSE","HIGH",432
"7",78,"7:14","NA","Drank tea",63,"FALSE","FALSE","FALSE","LOW",434
"8",78,"7:18","Good","Ate late:Drank coffee",57,"FALSE","FALSE","TRUE","LOW",438
"9",69,"7:27","Good","Drank coffee:Drank tea:Worked out",56,"TRUE","FALSE","FALSE","HIGH",447
"10",74,"7:35","Ok","Drank tea:Worked out",64,"TRUE","FALSE","FALSE","LOW",455
"11",81,"9:19","Good","Drank coffee:Drank tea:Stressful day",62,"FALSE","TRUE","FALSE","HIGH",559
"12",88,"7:16","Good","Drank coffee:Drank tea",58,"FALSE","FALSE","FALSE","HIGH",436
"13",77,"9:01","Ok","Drank coffee:Drank tea",65,"FALSE","FALSE","FALSE","HIGH",541
"14",89,"8:50","Ok","Drank coffee:Drank tea",65,"FALSE","FALSE","FALSE","HIGH",530
"15",78,"8:08","Good","Drank tea",53,"FALSE","FALSE","FALSE","LOW",488
"16",100,"9:11","Good","Drank tea:Worked out",65,"TRUE","FALSE","FALSE","LOW",551
"17",100,"8:06","Good","Drank coffee:Drank tea",55,"FALSE","FALSE","FALSE","HIGH",486
"18",88,"7:13","Good","Drank coffee:Drank tea:Worked out",60,"TRUE","FALSE","FALSE","HIGH",433
"19",87,"7:22","Good","Drank tea",60,"FALSE","FALSE","FALSE","LOW",442
"20",83,"6:51","Good","Drank coffee:Drank tea",94,"FALSE","FALSE","FALSE","HIGH",411
"21",93,"7:51","Good","Drank coffee:Drank tea",57,"FALSE","FALSE","FALSE","HIGH",471
"22",58,"7:12","Good","Drank coffee",67,"FALSE","FALSE","FALSE","LOW",432
"23",16,"1:13","Good","",58,"NA","NA","NA","NA",73
"24",75,"8:00","Ok","Drank coffee:Drank tea:Worked out",54,"TRUE","FALSE","FALSE","HIGH",480
"25",80,"8:02","Ok","Drank coffee:Drank tea:Worked out",60,"TRUE","FALSE","FALSE","HIGH",482
